event_name,event_timestamp,sample_time_sec,received_order,block_id,block_order,group_id,session_half,counterbalance_group,condition,condition_type,event_type,event_value,duration_sec,exclude_before_sec,exclude_after_sec,trial_id,question_id,correct_answer,participant_answer,is_correct,reaction_time_ms,notes,run_id,subject_id,session_id,client_event_id,client_id,received_timestamp,client_timestamp,client_monotonic_ms,timestamp_source,clock_offset_sec,clock_round_trip_ms,eeg_received_order,eeg_sample_number,eeg_stream_segment,alignment_error_ms,alignment_status,identity_status,context_matches_current,state_applied,start_number,generated_timestamp,displayed_timestamp,hidden_timestamp,after_block_id,affected_block_id,planned_duration,actual_duration,is_formal_experiment,operator_id,override_reason,sensitivity_exclude_before_sec,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,rating_item,rating_value,quiz_score,quiz_total,question_text,response_index,response_text,video_id,condition_label,video_time_sec,browser_timestamp,recorder_timestamp,device_sample_number,probe_id,probe_index,probe_schedule_id,probe_planned_time_sec,response,response_label,response_time_ms,confidence,probe_attention,pause_reason
qc_status_change,1789890594.4893374,19.612,4889,,,,,G07,,,qc_status_change,warning,,0.0,0.0,,,,,,,丢包率 2.05% 偏高。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890594.4893374,,,server,,,4888,4903,2,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890594.4893374,4903,,,,,,,,,,
qc_status_change,1789890598.4893374,23.272,5804,,,,,G07,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890598.4893374,,,server,,,5803,5818,2,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890598.4893374,5818,,,,,,,,,,
qc_baseline_start,1789890599.5203376,23.872,5954,,,,,G07,,,qc_baseline_start,,30.0,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890599.5203376,,,server,,,5953,5968,2,-62.99996376037598,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890599.5203376,5968,,,,,,,,,,
qc_status_change,1789890600.4893374,25.092,6134,,,,,G07,,,qc_status_change,bad,,0.0,0.0,,,,,,,等待至少2秒EEG数据。; 丢包率 40.98% 过高，请检查蓝牙距离、供电和连接。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890600.4893374,,,server,,,6133,6273,2,-16.000032424926758,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890600.4893374,6273,,,,,,,,,,
qc_status_change,1789890616.4893374,41.692,10204,,,,,G07,,,qc_status_change,warning,,0.0,0.0,,,,,,,丢包率 4.60% 偏高。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890616.4893374,,,server,,,10203,10423,2,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890616.4893374,10423,,,,,,,,,,
qc_baseline_complete,1789890630.5203376,55.712,13709,,,,,G07,,,qc_baseline_complete,fail,30.983999967575073,0.0,0.0,,,,,,,丢包率 2.58% 偏高。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890630.5203376,,,server,,,13708,13928,2,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890630.5203376,13928,,,,,,,,,,
qc_status_change,1789890632.5363376,57.712,14209,,,,,G07,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890632.5363376,,,server,,,14208,14428,2,-32.000064849853516,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890632.5363376,14428,,,,,,,,,,
qc_status_change,1789890650.5363376,74.688,18289,,,,,G07,,,qc_status_change,bad,,0.0,0.0,,,,,,,丢包率 7.32% 过高，请检查蓝牙距离、供电和连接。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890650.5363376,,,server,,,18288,18672,3,-32.000064849853516,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890650.5363376,18672,,,,,,,,,,
qc_status_change,1789890660.5363376,83.644,20499,,,,,G07,,,qc_status_change,warning,,0.0,0.0,,,,,,,丢包率 1.30% 偏高。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890660.5363376,,,server,,,20498,20911,4,-16.000032424926758,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890660.5363376,20911,,,,,,,,,,
qc_status_change,1789890666.5363376,89.664,22004,,,,,G07,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890666.5363376,,,server,,,22003,22416,4,-32.000064849853516,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890666.5363376,22416,,,,,,,,,,
qc_status_change,1789890692.5823376,115.744,28524,,,,,G07,,,qc_status_change,warning,,0.0,0.0,,,,,,,通道1 RMS相对基线异常，正在确认是否持续。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890692.5823376,,,server,,,28523,28936,4,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890692.5823376,28936,,,,,,,,,,
qc_baseline_start,1789890695.4263375,118.584,29234,,,,,G07,,,qc_baseline_start,,30.0,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890695.4263375,,,server,,,29233,29646,4,-14.999866485595703,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890695.4263375,29646,,,,,,,,,,
